# C->Lua event fire sites of the 1.12.1 client (build 5875): every call and tail-jmp to
# FrameScript_SignalEvent (0x703e50, ecx=eventId) and SignalEvent2 (0x703f50, [esp]=eventId +
# printf-style arg_format). eventId is resolved via 1.12-event-catalog.tsv; "dyn" = computed
# (e.g. a UnitField update loop); a blank name = the id has no entry in the name table.
#
# arg_format is the format string the site pushes: a declaration, not a census of what the
# caller pushed. The marshaller 0x704f10 consumes one vararg per directive (%f eight bytes,
# everything else four), so a format that declares more than its caller pushed hands Lua
# undefined values. Of the 149 SignalEvent2 sites exactly three do: 0x496230
# TRADE_REPLACE_ENCHANT "%s%s%d" declares 3 and pushes 2; 0x5e4527 and 0x5e7960 UPDATE_TICKET
# "%d%s%f%f%f%d%d" declare 10 dwords and push 7 (their sibling 0x5e45e2 pushes the full 12).
# Every other site's format matches its caller.
#
# The name column resolves every id through the in-game table (0xbe1198, 549 entries). 0x703d90
# is called twice with different populations, 0x46a88f with (0xb41e70, 26) for the glue phase
# and 0x48feab with (0xbe1198, 549) for the world, and rebuilds [0xceef68] wholesale from
# whichever it is handed, so the same integer names a different event in the two phases, and
# 0x703e50 bounds-checks nothing. 22 rows here sit in a `Source\Glue\` TU (0x46aa34;
# 0x46bc9d-0x46c52e inside 0x46b930; 0x46e73d; 0x47461e): their ids belong to the glue space and
# are never named from 1.12-event-catalog.tsv; their names are blank here. 0x46aa34 fires id 22,
# which is FRAMES_LOADED in the glue table (GlueParent.lua:94), not the in-game UNIT_MAXHEALTH.
#
# An event with no row here is not an event with no producer. This covers the two signal
# helpers' own call/jmp sites, and the per-field UNIT_* family reaches them through a wrapper:
# 0x515e50(&guid, id) fans out over the unit tokens and fires 0x703f50(id, "%s", token) at
# 0x515e7a, the "?" row below. Its 38 callers carry the id in edx; one of them, 0x51bd5b in the
# UpdateField watch callback 0x51bd50, computes it as (registered field byte offset >> 2), so
# ids 0x00-0xb5 (every named unit descriptor field, UNIT_FLAGS 40 included) are produced there
# and appear nowhere in this file. 0x51bd50 is the sole producer of 40; its fire condition is a
# repe cmpsb of the watched span against the object's shadow, at 0x4655bb. Most other
# 0x515e50 sites carry a literal id in edx, absent here too at any magnitude: {0x10 0x16 0x1c
# 0x1d 0x1e 0x29 0xb7 0xb8 0xb9 0xba 0xbb 0x159 0x197 0x20a}. So 0x197 = 407
# PLAYER_FLAGS_CHANGED (0x5eea35 mov edx,0x197 / 0x5eea3d call 0x515e50, inside the
# PLAYER_FLAGS delta handler 0x5ee990) lies outside 0x00-0xb5 and still has a producer. Same
# shape for 0x5de4b0 (id = its userdata, arg1 hardcoded "player") and 0x49b199 (id from the
# table at 0x8062e0).
fire_site_va	dispatcher	eventId	name	arg_format
0x474c81	SignalEvent	16	UNIT_HEALTH	
0x474cb3	SignalEvent2	3		%s%s
0x488cd5	SignalEvent2	312	CVAR_UPDATE	%s%s
0x48edda	SignalEvent	370	CINEMATIC_START	
0x48f095	SignalEvent	371	CINEMATIC_STOP	
0x48f3eb	SignalEvent2	279	RESURRECT_REQUEST	%s
0x48f412	SignalEvent2	520	PLAYER_SKINNED	%d
0x48f42b	SignalEvent2	280	PARTY_INVITE_REQUEST	%s
0x48f445	SignalEvent	281	PARTY_INVITE_CANCEL	
0x48f45c	SignalEvent2	282	GUILD_INVITE_REQUEST	%s%s
0x48f475	SignalEvent	283	GUILD_INVITE_CANCEL	
0x48fa17	SignalEvent	526	UPDATE_WORLD_STATES	
0x490959	SignalEvent	270	PLAYER_LOGIN	
0x49096a	SignalEvent	272	PLAYER_ENTERING_WORLD	
0x490b4d	SignalEvent	273	PLAYER_LEAVING_WORLD	
0x490b77	SignalEvent	371	CINEMATIC_STOP	
0x490c2a	SignalEvent	271	PLAYER_LOGOUT	
0x49156a	SignalEvent	430	VARIABLES_LOADED	
0x491be8	SignalEvent2	266	ITEM_PUSH	%d%s
0x49211a	SignalEvent	dyn		
0x492124	SignalEvent	399	CORPSE_OUT_OF_RANGE	
0x4922d1	SignalEvent	527	AREA_SPIRIT_HEALER_IN_RANGE	
0x4929b3	SignalEvent	336	UPDATE_MOUSEOVER_UNIT	
0x492f5c	SignalEvent	511	DISPLAY_SIZE_CHANGED	
0x4930c7	SignalEvent	209	SCREENSHOT_FAILED	
0x49389c	SignalEvent	195	PLAYER_TARGET_CHANGED	
0x493a73	SignalEvent	195	PLAYER_TARGET_CHANGED	
0x4945ca	SignalEvent2	?		%s
0x49468b	SignalEvent2	182	UNIT_COMBAT	%s%s%s%d%d
0x49493f	SignalEvent	205	ZONE_CHANGED_NEW_AREA	
0x49495f	SignalEvent	?		
0x4949cb	SignalEvent	206	MINIMAP_ZONE_CHANGED	
0x4949e7	SignalEvent	206	MINIMAP_ZONE_CHANGED	
0x494add	SignalEvent	431	MACRO_ACTION_FORBIDDEN	
0x494afb	SignalEvent2	432	ADDON_ACTION_FORBIDDEN	%s
0x494c54	SignalEvent	292	CURSOR_UPDATE	
0x494d10	SignalEvent	200	PLAYER_MONEY	
0x49515e	SignalEvent	292	CURSOR_UPDATE	
0x495248	SignalEvent	200	PLAYER_MONEY	
0x4952cc	SignalEvent	292	CURSOR_UPDATE	
0x4953c0	SignalEvent2	291	DELETE_ITEM_CONFIRM	%s%d
0x495415	SignalEvent	188	ITEM_LOCK_CHANGED	
0x495455	SignalEvent	188	ITEM_LOCK_CHANGED	
0x49557d	SignalEvent	188	ITEM_LOCK_CHANGED	
0x49563d	SignalEvent2	433	MEMORY_EXHAUSTED	%d
0x495656	SignalEvent	434	MEMORY_RECOVERED	
0x4956e9	SignalEvent	518	IGR_BILLING_NAG_DIALOG	
0x495700	SignalEvent2	517	BILLING_NAG_DIALOG	%d
0x495741	SignalEvent	518	IGR_BILLING_NAG_DIALOG	
0x49581e	SignalEvent2	517	BILLING_NAG_DIALOG	%d
0x49587d	SignalEvent	275	PLAYER_DEAD	
0x495893	SignalEvent	274	PLAYER_ALIVE	
0x4958f7	SignalEvent	197	PLAYER_CONTROL_GAINED	
0x49590b	SignalEvent	196	PLAYER_CONTROL_LOST	
0x4960a3	SignalEvent	402	BIND_ENCHANT	
0x4960e4	SignalEvent2	403	REPLACE_ENCHANT	%s%s
0x496230	SignalEvent2	404	TRADE_REPLACE_ENCHANT	%s%s%d
0x49630d	SignalEvent	dyn		
0x496359	SignalEvent	508	INSTANCE_BOOT_START	
0x49636e	SignalEvent	509	INSTANCE_BOOT_STOP	
0x4963ce	SignalEvent	516	CONFIRM_SUMMON	
0x4996be	SignalEvent	395	UPDATE_CHAT_WINDOWS	
0x49971b	SignalEvent2	226	UPDATE_CHAT_COLOR	%s%f%f%f
0x499793	SignalEvent2	226	UPDATE_CHAT_COLOR	%s%f%f%f
0x499939	SignalEvent	395	UPDATE_CHAT_WINDOWS	
0x499993	SignalEvent2	226	UPDATE_CHAT_COLOR	%s%f%f%f
0x499a03	SignalEvent2	226	UPDATE_CHAT_COLOR	%s%f%f%f
0x49a95f	SignalEvent2	227	CHAT_MSG_ADDON	%s%s%s%s
0x49b199	SignalEvent2	?		%s%s%s%s%s%s%d%d%s%d
0x49b975	SignalEvent	258	LANGUAGE_LIST_CHANGED	
0x49bddc	SignalEvent	526	UPDATE_WORLD_STATES	
0x49e1a7	SignalEvent	539	UPDATE_INSTANCE_INFO	
0x49eb21	SignalEvent	395	UPDATE_CHAT_WINDOWS	
0x49eb5f	SignalEvent	395	UPDATE_CHAT_WINDOWS	
0x4a00a9	SignalEvent	395	UPDATE_CHAT_WINDOWS	
0x4a098b	SignalEvent2	226	UPDATE_CHAT_COLOR	%s%f%f%f
0x4a6ce4	SignalEvent	365	WORLD_MAP_UPDATE	
0x4a7835	SignalEvent	373	CLOSE_WORLD_MAP	
0x4aa15b	SignalEvent	418	BATTLEFIELDS_CLOSED	
0x4aa308	SignalEvent	420	UPDATE_BATTLEFIELD_SCORE	
0x4aa7d1	SignalEvent	417	BATTLEFIELDS_SHOW	
0x4aab05	SignalEvent	419	UPDATE_BATTLEFIELD_STATUS	
0x4ac195	SignalEvent	366	WORLD_MAP_NAME_UPDATE	
0x4acd42	SignalEvent	410	MAIL_SHOW	
0x4acda3	SignalEvent	411	MAIL_CLOSED	
0x4ace19	SignalEvent	412	SEND_MAIL_MONEY_CHANGED	
0x4ace23	SignalEvent	413	SEND_MAIL_COD_CHANGED	
0x4ace2d	SignalEvent	415	MAIL_SEND_SUCCESS	
0x4ad02a	SignalEvent	416	MAIL_INBOX_UPDATE	
0x4ad16a	SignalEvent	514	MAIL_FAILED	
0x4ad5d6	SignalEvent	416	MAIL_INBOX_UPDATE	
0x4ad605	SignalEvent	500	UPDATE_PENDING_MAIL	
0x4ad66b	SignalEvent	500	UPDATE_PENDING_MAIL	
0x4ad772	SignalEvent2	515	CLOSE_INBOX_ITEM	%d
0x4ad7a3	SignalEvent	416	MAIL_INBOX_UPDATE	
0x4ad87d	SignalEvent2	515	CLOSE_INBOX_ITEM	%d
0x4ad8ae	SignalEvent	416	MAIL_INBOX_UPDATE	
0x4ad8fc	SignalEvent	416	MAIL_INBOX_UPDATE	
0x4ad966	SignalEvent	416	MAIL_INBOX_UPDATE	
0x4adc44	SignalEvent	412	SEND_MAIL_MONEY_CHANGED	
0x4adc88	SignalEvent	413	SEND_MAIL_COD_CHANGED	
0x4add9d	SignalEvent	416	MAIL_INBOX_UPDATE	
0x4adeba	SignalEvent	500	UPDATE_PENDING_MAIL	
0x4ae0de	SignalEvent	414	MAIL_SEND_INFO_UPDATE	
0x4ae71f	SignalEvent	414	MAIL_SEND_INFO_UPDATE	
0x4ae98d	SignalEvent	414	MAIL_SEND_INFO_UPDATE	
0x4aeaf8	SignalEvent	416	MAIL_INBOX_UPDATE	
0x4af08f	SignalEvent	416	MAIL_INBOX_UPDATE	
0x4af0af	SignalEvent	416	MAIL_INBOX_UPDATE	
0x4af34f	SignalEvent	416	MAIL_INBOX_UPDATE	
0x4af5bf	SignalEvent	416	MAIL_INBOX_UPDATE	
0x4b2904	SignalEvent	387	UPDATE_SHAPESHIFT_FORMS	
0x4b2b92	SignalEvent2	510	LEARNED_SPELL_IN_TAB	%d
0x4b2e4e	SignalEvent	387	UPDATE_SHAPESHIFT_FORMS	
0x4b302f	SignalEvent	260	SPELLS_CHANGED	
0x4b31ba	SignalEvent	262	SPELL_UPDATE_COOLDOWN	
0x4b3246	SignalEvent	263	SPELL_UPDATE_USABLE	
0x4b325a	SignalEvent	261	CURRENT_SPELL_CAST_CHANGED	
0x4b54ad	SignalEvent2	384	TUTORIAL_TRIGGER	%d
0x4b5890	SignalEvent2	384	TUTORIAL_TRIGGER	%d
0x4b649d	SignalEvent	386	UPDATE_BINDINGS	
0x4b805b	SignalEvent	386	UPDATE_BINDINGS	
0x4ba1a2	SignalEvent	499	RAID_ROSTER_UPDATE	
0x4ba348	SignalEvent	537	RAID_TARGET_UPDATE	
0x4ba53a	SignalEvent	536	READY_CHECK	
0x4ba57b	SignalEvent	499	RAID_ROSTER_UPDATE	
0x4ba5db	SignalEvent	537	RAID_TARGET_UPDATE	
0x4babef	SignalEvent	499	RAID_ROSTER_UPDATE	
0x4bada6	SignalEvent	499	RAID_ROSTER_UPDATE	
0x4badb0	SignalEvent	218	PARTY_MEMBERS_CHANGED	
0x4bc85b	SignalEvent2	2	UNIT_PET	%s
0x4bc907	SignalEvent	428	PET_UI_CLOSE	
0x4bc911	SignalEvent	353	PET_BAR_UPDATE	
0x4bc956	SignalEvent	353	PET_BAR_UPDATE	
0x4bc979	SignalEvent	353	PET_BAR_UPDATE	
0x4bcb6d	SignalEvent	353	PET_BAR_UPDATE	
0x4bcc81	SignalEvent	353	PET_BAR_UPDATE	
0x4bcdcb	SignalEvent	353	PET_BAR_UPDATE	
0x4bce75	SignalEvent	355	PET_BAR_SHOWGRID	
0x4bce85	SignalEvent	356	PET_BAR_HIDEGRID	
0x4bce95	SignalEvent	354	PET_BAR_UPDATE_COOLDOWN	
0x4bd438	SignalEvent	353	PET_BAR_UPDATE	
0x4bd6b4	SignalEvent	353	PET_BAR_UPDATE	
0x4bd722	SignalEvent2	385	PET_DISMISS_START	%d
0x4bdb54	SignalEvent	353	PET_BAR_UPDATE	
0x4bf260	SignalEvent2	322	TRADE_ACCEPT_UPDATE	%d%d
0x4bf29f	SignalEvent2	322	TRADE_ACCEPT_UPDATE	%d%d
0x4bf414	SignalEvent2	323	TRADE_TARGET_ITEM_CHANGED	%d
0x4bf452	SignalEvent2	323	TRADE_TARGET_ITEM_CHANGED	%d
0x4bf487	SignalEvent2	324	TRADE_PLAYER_ITEM_CHANGED	%d
0x4bf4ab	SignalEvent	326	PLAYER_TRADE_MONEY	
0x4bf4b5	SignalEvent	200	PLAYER_MONEY	
0x4bf4d6	SignalEvent	325	TRADE_MONEY_CHANGED	
0x4bf522	SignalEvent	320	TRADE_CLOSED	
0x4bf630	SignalEvent	326	PLAYER_TRADE_MONEY	
0x4bf63a	SignalEvent	200	PLAYER_MONEY	
0x4bf644	SignalEvent	319	TRADE_SHOW	
0x4bf705	SignalEvent	319	TRADE_SHOW	
0x4bf832	SignalEvent	286	TRADE_REQUEST_CANCEL	
0x4bfaef	SignalEvent2	324	TRADE_PLAYER_ITEM_CHANGED	%d
0x4bfbea	SignalEvent	326	PLAYER_TRADE_MONEY	
0x4bfbf5	SignalEvent	200	PLAYER_MONEY	
0x4bfc3f	SignalEvent2	324	TRADE_PLAYER_ITEM_CHANGED	%d
0x4bfdce	SignalEvent	326	PLAYER_TRADE_MONEY	
0x4c034f	SignalEvent	321	TRADE_UPDATE	
0x4c1dac	SignalEvent	269	LOOT_CLOSED	
0x4c1ee6	SignalEvent	267	LOOT_OPENED	
0x4c1f77	SignalEvent2	268	LOOT_SLOT_CLEARED	%d
0x4c1fe0	SignalEvent	267	LOOT_OPENED	
0x4c21d4	SignalEvent2	287	LOOT_BIND_CONFIRM	%u
0x4c2240	SignalEvent	267	LOOT_OPENED	
0x4c276f	SignalEvent2	268	LOOT_SLOT_CLEARED	%d
0x4c2862	SignalEvent2	268	LOOT_SLOT_CLEARED	%d
0x4c28d1	SignalEvent	503	OPEN_MASTER_LOOT_LIST	
0x4c290f	SignalEvent2	287	LOOT_BIND_CONFIRM	%u
0x4c2b37	SignalEvent	267	LOOT_OPENED	
0x4c2fbf	SignalEvent	504	UPDATE_MASTER_LOOT_LIST	
0x4c3e48	SignalEvent	543	LOTTERY_SHOW	
0x4c4123	SignalEvent	548	LOTTERY_ITEM_UPDATE	
0x4c4cd5	SignalEvent	534	START_MINIGAME	
0x4c4cdf	SignalEvent	535	MINIGAME_UPDATE	
0x4c4d0a	SignalEvent	535	MINIGAME_UPDATE	
0x4c6f56	SignalEvent	525	INSPECT_HONOR_UPDATE	
0x4c7098	SignalEvent2	264	CHARACTER_POINTS_CHANGED	%d%d
0x4c7110	SignalEvent2	186	UNIT_INVENTORY_CHANGED	%s
0x4c728d	SignalEvent2	347	PLAYERBANKSLOTS_CHANGED	%s
0x4c72e0	SignalEvent2	186	UNIT_INVENTORY_CHANGED	%s
0x4c8085	SignalEvent	501	UPDATE_INVENTORY_ALERTS	
0x4c8509	SignalEvent2	186	UNIT_INVENTORY_CHANGED	%s
0x4ca38f	SignalEvent	519	MEETINGSTONE_CHANGED	
0x4cac9b	SignalEvent	437	PET_STABLE_SHOW	
0x4cad88	SignalEvent	438	PET_STABLE_UPDATE	
0x4cae3a	SignalEvent	440	PET_STABLE_CLOSED	
0x4cb3bf	SignalEvent	438	PET_STABLE_UPDATE	
0x4cba5f	SignalEvent	439	PET_STABLE_UPDATE_PAPERDOLL	
0x4cc5d0	SignalEvent	424	AUCTION_ITEM_LIST_UPDATE	
0x4cc703	SignalEvent	424	AUCTION_ITEM_LIST_UPDATE	
0x4cc769	SignalEvent	426	AUCTION_BIDDER_LIST_UPDATE	
0x4cd09e	SignalEvent	426	AUCTION_BIDDER_LIST_UPDATE	
0x4cd143	SignalEvent	424	AUCTION_ITEM_LIST_UPDATE	
0x4cd301	SignalEvent	425	AUCTION_OWNED_LIST_UPDATE	
0x4cd3a8	SignalEvent	424	AUCTION_ITEM_LIST_UPDATE	
0x4cd5e6	SignalEvent	421	AUCTION_HOUSE_SHOW	
0x4cd602	SignalEvent	422	AUCTION_HOUSE_CLOSED	
0x4cd678	SignalEvent	423	NEW_AUCTION_UPDATE	
0x4cd8cf	SignalEvent	424	AUCTION_ITEM_LIST_UPDATE	
0x4cdcef	SignalEvent	425	AUCTION_OWNED_LIST_UPDATE	
0x4cdddf	SignalEvent	426	AUCTION_BIDDER_LIST_UPDATE	
0x4ce03e	SignalEvent	424	AUCTION_ITEM_LIST_UPDATE	
0x4ce09e	SignalEvent	425	AUCTION_OWNED_LIST_UPDATE	
0x4ce101	SignalEvent	426	AUCTION_BIDDER_LIST_UPDATE	
0x4ce2ff	SignalEvent	423	NEW_AUCTION_UPDATE	
0x4ce576	SignalEvent	423	NEW_AUCTION_UPDATE	
0x4cf29f	SignalEvent	424	AUCTION_ITEM_LIST_UPDATE	
0x4cf2bf	SignalEvent	425	AUCTION_OWNED_LIST_UPDATE	
0x4cf2df	SignalEvent	426	AUCTION_BIDDER_LIST_UPDATE	
0x4d117a	SignalEvent2	408	GUILD_ROSTER_UPDATE	%d
0x4d1188	SignalEvent	408	GUILD_ROSTER_UPDATE	
0x4d2ff2	SignalEvent	265	SKILL_LINES_CHANGED	
0x4d346f	SignalEvent	265	SKILL_LINES_CHANGED	
0x4d3598	SignalEvent	265	SKILL_LINES_CHANGED	
0x4d3e3a	SignalEvent	265	SKILL_LINES_CHANGED	
0x4d4a88	SignalEvent2	380	DUEL_REQUESTED	%s
0x4d4aa5	SignalEvent	381	DUEL_OUTOFBOUNDS	
0x4d4ac5	SignalEvent	382	DUEL_INBOUNDS	
0x4d4b6a	SignalEvent	383	DUEL_FINISHED	
0x4d569e	SignalEvent	372	UPDATE_FACTION	
0x4d56f6	SignalEvent	372	UPDATE_FACTION	
0x4d5984	SignalEvent	372	UPDATE_FACTION	
0x4d5db0	SignalEvent	372	UPDATE_FACTION	
0x4d7468	SignalEvent	311	TRAINER_CLOSED	
0x4d7b73	SignalEvent	309	TRAINER_SHOW	
0x4d83f9	SignalEvent	310	TRAINER_UPDATE	
0x4d8ca0	SignalEvent	310	TRAINER_UPDATE	
0x4d8cc0	SignalEvent	310	TRAINER_UPDATE	
0x4d8ce0	SignalEvent	310	TRAINER_UPDATE	
0x4dba96	SignalEvent	306	TAXIMAP_OPENED	
0x4dc15f	SignalEvent	307	TAXIMAP_CLOSED	
0x4de534	SignalEvent	308	QUEST_LOG_UPDATE	
0x4de816	SignalEvent	308	QUEST_LOG_UPDATE	
0x4ded98	SignalEvent	308	QUEST_LOG_UPDATE	
0x4dedba	SignalEvent	308	QUEST_LOG_UPDATE	
0x4dedd6	SignalEvent	308	QUEST_LOG_UPDATE	
0x4def20	SignalEvent	308	QUEST_LOG_UPDATE	
0x4df28f	SignalEvent	308	QUEST_LOG_UPDATE	
0x4df840	SignalEvent	308	QUEST_LOG_UPDATE	
0x4e07ef	SignalEvent	308	QUEST_LOG_UPDATE	
0x4e081f	SignalEvent	308	QUEST_LOG_UPDATE	
0x4e083f	SignalEvent	308	QUEST_LOG_UPDATE	
0x4e1559	SignalEvent	308	QUEST_LOG_UPDATE	
0x4e1fdc	SignalEvent	299	GOSSIP_CLOSED	
0x4e22b5	SignalEvent	297	GOSSIP_SHOW	
0x4e237e	SignalEvent2	298	GOSSIP_ENTER_CODE	%d
0x4e332d	SignalEvent	296	ITEM_TEXT_CLOSED	
0x4e33a2	SignalEvent	296	ITEM_TEXT_CLOSED	
0x4e34a4	SignalEvent	293	ITEM_TEXT_BEGIN	
0x4e367c	SignalEvent	295	ITEM_TEXT_READY	
0x4e3783	SignalEvent	295	ITEM_TEXT_READY	
0x4e3860	SignalEvent	295	ITEM_TEXT_READY	
0x4e437f	SignalEvent	192	PLAYER_AURAS_CHANGED	
0x4e501d	SignalEvent	217	UPDATE_BONUS_ACTIONBAR	
0x4e58c5	SignalEvent	210	ACTIONBAR_SHOWGRID	
0x4e58d5	SignalEvent	211	ACTIONBAR_HIDEGRID	
0x4e5998	SignalEvent2	213	ACTIONBAR_SLOT_CHANGED	%d
0x4e5bf5	SignalEvent	214	ACTIONBAR_UPDATE_STATE	
0x4e5c53	SignalEvent	215	ACTIONBAR_UPDATE_USABLE	
0x4e5c65	SignalEvent	216	ACTIONBAR_UPDATE_COOLDOWN	
0x4e7655	SignalEvent	212	ACTIONBAR_PAGE_CHANGED	
0x4e82a9	SignalEvent	219	PARTY_LEADER_CHANGED	
0x4e82c2	SignalEvent	219	PARTY_LEADER_CHANGED	
0x4e8495	SignalEvent	218	PARTY_MEMBERS_CHANGED	
0x4e85c5	SignalEvent	218	PARTY_MEMBERS_CHANGED	
0x4e86b6	SignalEvent2	220	PARTY_MEMBER_ENABLE	%d
0x4e87fa	SignalEvent	222	PARTY_LOOT_METHOD_CHANGED	
0x4e8b0e	SignalEvent	531	UPDATE_LFG_TYPES	
0x4e8c70	SignalEvent	531	UPDATE_LFG_TYPES	
0x4e8d46	SignalEvent	532	UPDATE_LFG_LIST	
0x4e8f45	SignalEvent	532	UPDATE_LFG_LIST	
0x4ee48d	SignalEvent2	357	MINIMAP_PING	%s%f%f
0x4f0dfb	SignalEvent	393	UPDATE_MACROS	
0x4f153c	SignalEvent2	392	EXECUTE_CHAT_LINE	%s
0x4f402c	SignalEvent	391	PETITION_CLOSED	
0x4f41b4	SignalEvent	390	PETITION_SHOW	
0x4f430c	SignalEvent	390	PETITION_SHOW	
0x4f433f	SignalEvent	390	PETITION_SHOW	
0x4f43ad	SignalEvent	390	PETITION_SHOW	
0x4f5003	SignalEvent	378	GUILD_REGISTRAR_SHOW	
0x4f503a	SignalEvent	379	GUILD_REGISTRAR_CLOSED	
0x4f588d	SignalEvent	374	OPEN_TABARD_FRAME	
0x4f58f8	SignalEvent	375	CLOSE_TABARD_FRAME	
0x4f5fef	SignalEvent	361	CRAFT_CLOSE	
0x4f6017	SignalEvent	361	CRAFT_CLOSE	
0x4f6040	SignalEvent	359	CRAFT_SHOW	
0x4f661a	SignalEvent	360	CRAFT_UPDATE	
0x4f6bf0	SignalEvent	360	CRAFT_UPDATE	
0x4f8495	SignalEvent	350	PLAYERBANKBAGSLOTS_CHANGED	
