# The 1.12.1 client's FrameScript events and the arguments their producers push.
# Generated by scripts/gen-reference-events.py from reference/1.12-event-catalog.tsv
# and reference/1.12-event-firesites.tsv.
#
# arg_formats  `|`-separated, one per distinct producer shape. `()` = zero Lua values.
#              Directives: %s string, %d/%u number, %f number. An event with two
#              producers of different shapes carries both; which one fires depends
#              on the transition, not the name.
# conf         exact = gate on it. advisory = a contributing site declares more
#              varargs than it pushes. none = no producer family reaches it here,
#              which does not mean it has none; never gate on it.
# producers    signal (0x703e50, no varargs) | signal2 (0x703f50, format-driven) |
#              unit-field-bridge (0x51bbb0/0x51bd50 -> 0x515e50, always %s) |
#              token-fanout (0x515e50 with a literal id, also %s).
# 394 events, 278 with a known producer; 22 glue-space fire sites dropped.
name	ids	producers	arg_formats	conf	note
PLAYER_DAMAGE_DONE_MODS	201		?	none	
PLAYER_DEAD	275	signal	()	exact	
PLAYER_ENTERING_WORLD	272	signal	()	exact	
PLAYER_ENTER_COMBAT	193	signal	()	exact	
PLAYER_FARSIGHT_FOCUS_CHANGED	198	signal	()	exact	
PLAYER_FLAGS_CHANGED	407	token-fanout	%s	exact	
PLAYER_GUILD_UPDATE	345	signal|token-fanout	%s|()	exact	
PLAYER_LEAVE_COMBAT	194	signal	()	exact	
PLAYER_LEAVING_WORLD	273	signal	()	exact	
PLAYER_LEVEL_UP	199	signal2	%d%d%d%d%d%d%d%d%d	exact	
PLAYER_LOGIN	270	signal	()	exact	
PLAYER_LOGOUT	271	signal	()	exact	
PLAYER_MONEY	200	signal	()	exact	
PLAYER_PVP_KILLS_CHANGED	523		?	none	
PLAYER_PVP_RANK_CHANGED	524		?	none	
PLAYER_QUITING	277		?	none	
PLAYER_REGEN_DISABLED	190		?	none	
PLAYER_REGEN_ENABLED	191	signal	()	exact	
PLAYER_SKINNED	520	signal2	%d	exact	
PLAYER_TARGET_CHANGED	195	signal	()	exact	
PLAYER_TRADE_MONEY	326	signal	()	exact	
PLAYER_UNGHOST	401	signal	()	exact	
PLAYER_UPDATE_RESTING	405	signal	()	exact	
PLAYER_XP_UPDATE	189		?	none	
PLAYTIME_CHANGED	530	signal	()	exact	
QUEST_ACCEPT_CONFIRM	346	signal2	%s%s	exact	
QUEST_COMPLETE	303	signal	()	exact	
QUEST_DETAIL	301		?	none	
QUEST_FINISHED	304	signal	()	exact	
QUEST_GREETING	300	signal	()	exact	
QUEST_ITEM_UPDATE	305	signal	()	exact	
QUEST_LOG_UPDATE	308	signal	()	exact	
QUEST_PROGRESS	302	signal	()	exact	
QUEST_WATCH_UPDATE	545	signal2	%d	exact	
RAID_ROSTER_UPDATE	499	signal	()	exact	
RAID_TARGET_UPDATE	537	signal	()	exact	
READY_CHECK	536	signal	()	exact	
REPLACE_ENCHANT	403	signal2	%s%s	exact	
RESURRECT_REQUEST	279	signal2	%s	exact	
SCREENSHOT_FAILED	209	signal	()	exact	
SCREENSHOT_SUCCEEDED	208		?	none	
SEND_MAIL_COD_CHANGED	413	signal	()	exact	
SEND_MAIL_MONEY_CHANGED	412	signal	()	exact	
SHOW_COMPARE_TOOLTIP	377		?	none	
SKILL_LINES_CHANGED	265	signal	()	exact	
SPELLCAST_CHANNEL_START	342	signal2	%d%s	exact	
SPELLCAST_CHANNEL_STOP	344	signal	()	exact	
SPELLCAST_CHANNEL_UPDATE	343	signal2	%d	exact	
SPELLCAST_DELAYED	341	signal2	%d	exact	
SPELLCAST_FAILED	339		?	none	
SPELLCAST_INTERRUPTED	340	signal	()	exact	
SPELLCAST_START	337	signal2	%s%d	exact	
SPELLCAST_STOP	338	signal	()	exact	
SPELLS_CHANGED	260	signal	()	exact	
SPELL_UPDATE_COOLDOWN	262	signal	()	exact	
SPELL_UPDATE_USABLE	263	signal	()	exact	
START_AUTOREPEAT_SPELL	435	signal	()	exact	
START_LOOT_ROLL	505	signal2	%d%d	exact	
START_MINIGAME	534	signal	()	exact	
STOP_AUTOREPEAT_SPELL	436	signal	()	exact	
SYSMSG	223		?	none	
TABARD_CANSAVE_CHANGED	376	signal	()	exact	
TABARD_SAVE_PENDING	521	signal	()	exact	
TAXIMAP_CLOSED	307	signal	()	exact	
TAXIMAP_OPENED	306	signal	()	exact	
TIME_PLAYED_MSG	259	signal2	%d%d	exact	
TRADE_ACCEPT_UPDATE	322	signal2	%d%d	exact	
TRADE_CLOSED	320	signal	()	exact	
TRADE_MONEY_CHANGED	325	signal	()	exact	
TRADE_PLAYER_ITEM_CHANGED	324	signal2	%d	exact	
TRADE_REPLACE_ENCHANT	404	signal2	%s%s%d	advisory	0x496230 declares more varargs than it pushes — do not copy
TRADE_REQUEST	285		?	none	
TRADE_REQUEST_CANCEL	286	signal	()	exact	
TRADE_SHOW	319	signal	()	exact	
TRADE_SKILL_CLOSE	315	signal	()	exact	
TRADE_SKILL_SHOW	313	signal	()	exact	
TRADE_SKILL_UPDATE	314	signal	()	exact	
TRADE_TARGET_ITEM_CHANGED	323	signal2	%d	exact	
TRADE_UPDATE	321	signal	()	exact	
TRAINER_CLOSED	311	signal	()	exact	
TRAINER_SHOW	309	signal	()	exact	
TRAINER_UPDATE	310	signal	()	exact	
TUTORIAL_TRIGGER	384	signal2	%d	exact	
UI_ERROR_MESSAGE	224		?	none	
UI_INFO_MESSAGE	225		?	none	
UNIT_ATTACK	332	signal2	%s	exact	
UNIT_ATTACK_POWER	159|160|161	unit-field-bridge	%s	exact	
UNIT_ATTACK_SPEED	120|121	unit-field-bridge	%s	exact	
UNIT_AURA	41|107	token-fanout|unit-field-bridge	%s	exact	
UNIT_CLASSIFICATION_CHANGED	187	token-fanout	%s	exact	
UNIT_COMBAT	182	signal2	%s%s%s%d%d	exact	
UNIT_DAMAGE	128|129|130|131	unit-field-bridge	%s	exact	
UNIT_DEFENSE	333	signal2	%s	exact	
UNIT_DISPLAYPOWER	30	token-fanout|unit-field-bridge	%s	exact	
UNIT_DYNAMIC_FLAGS	137	unit-field-bridge	%s	exact	
UNIT_ENERGY	20	unit-field-bridge	%s	exact	
UNIT_FACTION	29	token-fanout|unit-field-bridge	%s	exact	
UNIT_FLAGS	40	unit-field-bridge	%s	exact	
UNIT_FOCUS	19	unit-field-bridge	%s	exact	
UNIT_HAPPINESS	21	signal2|unit-field-bridge	%s	exact	
UNIT_HEALTH	16	signal|token-fanout|unit-field-bridge	%s|()	exact	
UNIT_INVENTORY_CHANGED	186	signal2|token-fanout	%s	exact	
UNIT_LEVEL	28	signal2|token-fanout|unit-field-bridge	%s	exact	
UNIT_LOYALTY	132	unit-field-bridge	%s	exact	
UNIT_MANA	17|167|174	signal|unit-field-bridge	%s|()	exact	
UNIT_MAXENERGY	26	unit-field-bridge	%s	exact	
UNIT_MAXFOCUS	25	signal2|unit-field-bridge	%d%d%d%d%d%d%d%d%d%d|%s	exact	
UNIT_MAXHAPPINESS	27	unit-field-bridge	%s	exact	
UNIT_MAXHEALTH	22	token-fanout|unit-field-bridge	%s	exact	
UNIT_MAXMANA	23	signal2|unit-field-bridge	%s	exact	
UNIT_MAXRAGE	24	unit-field-bridge	%s	exact	
UNIT_MODEL_CHANGED	185	token-fanout	%s	exact	
UNIT_NAME_UPDATE	183	token-fanout	%s	exact	
UNIT_PET	0|2	signal|signal2|unit-field-bridge	%s|()	exact	
UNIT_PET_EXPERIENCE	135|136	unit-field-bridge	%s	exact	
UNIT_PET_TRAINING_POINTS	143	unit-field-bridge	%s	exact	
UNIT_PORTRAIT_UPDATE	184	token-fanout	%s	exact	
UNIT_QUEST_LOG_CHANGED	522	token-fanout	%s	exact	
UNIT_RAGE	18	signal2|unit-field-bridge	%d%d|%s	exact	
UNIT_RANGEDDAMAGE	122|165|166	unit-field-bridge	%s	exact	
UNIT_RANGED_ATTACK_POWER	162|163|164	signal2|unit-field-bridge	%s	exact	
UNIT_RESISTANCES	149|150|151|152|153|154|155	unit-field-bridge	%s	exact	
UNIT_STATS	144|145|146|147|148	unit-field-bridge	%s	exact	
UPDATE_BATTLEFIELD_SCORE	420	signal	()	exact	
UPDATE_BATTLEFIELD_STATUS	419	signal	()	exact	
UPDATE_BINDINGS	386	signal	()	exact	
UPDATE_BONUS_ACTIONBAR	217	signal	()	exact	
UPDATE_CHAT_COLOR	226	signal2	%s%f%f%f	exact	
UPDATE_CHAT_WINDOWS	395	signal	()	exact	
UPDATE_EXHAUSTION	406	signal	()	exact	
UPDATE_FACTION	372	signal	()	exact	
UPDATE_GM_STATUS	400	signal2	%d	exact	
UPDATE_INSTANCE_INFO	539	signal	()	exact	
UPDATE_INVENTORY_ALERTS	501	signal	()	exact	
UPDATE_LFG	389		?	none	
UPDATE_LFG_LIST	532	signal	()	exact	
UPDATE_LFG_TYPES	531	signal	()	exact	
UPDATE_MACROS	393	signal	()	exact	
UPDATE_MASTER_LOOT_LIST	504	signal	()	exact	
UPDATE_MOUSEOVER_UNIT	336	signal	()	exact	
UPDATE_PENDING_MAIL	500	signal	()	exact	
UPDATE_SHAPESHIFT_FORMS	387	signal	()	exact	
UPDATE_TICKET	394	signal2	%d%s|%d%s%f%f%f%d%d	advisory	0x5e4527 declares more varargs than it pushes — do not copy; 0x5e7960 declares more varargs than it pushes — do not copy
UPDATE_TRADESKILL_RECAST	502	signal	()	exact	
UPDATE_WORLD_STATES	526	signal	()	exact	
USE_BIND_CONFIRM	290	signal	()	exact	
VARIABLES_LOADED	430	signal	()	exact	
WHO_LIST_UPDATE	388	signal	()	exact	
WORLD_MAP_NAME_UPDATE	366	signal	()	exact	
WORLD_MAP_UPDATE	365	signal	()	exact	
ZONE_CHANGED	203		?	none	
ZONE_CHANGED_INDOORS	204		?	none	
ZONE_CHANGED_NEW_AREA	205	signal	()	exact	
