# Lua binding shapes of the 1.12.1 client (WoW.exe build 5875): one row per registered
# binding, name -> (argc, return arity, return kinds), with per-column confidence.
#
# 82 registrar tables, 1722 bindings, 1722 analysed, 0 unresolved registrar sites. Four
# registration routes, extents read from the registrar's own literal: 0x704120
# RegisterFunction loops; 0x701d80 widget method tables; the inlined base-library loop at
# 0x811e28; and the four luaL_openlib 0x6f4dc0 tables (bit/math/table/string).
#
# Column contract:
#   arity / arity_conf   sound. exact = one constant; set = a `|`-separated set of possible
#     counts; unknown = `?`. An imprecise result is a set or `?`, never a wrong single
#     number. Gate on this.
#   kind `string?`       string or nil. lua_pushstring 0x6f3890 begins `test edx,edx ; jne`
#     and tail-jumps to lua_pushnil when the char* is NULL, so `string` is emitted only where
#     the pointer is a constant that resolves to a readable literal; every other
#     lua_pushstring is `string?`. A miss path can show a fixed arity and still answer nil in
#     that slot (GetMapInfo -> nil,0,0; GetChannelName -> 0,nil,0).
#   kinds / kinds_conf   advisory unless kinds_conf == agree: the independent lua_push* trace
#     length matches `eax` at every ret, and every ret was checked. A loop (GetTexCoord: 2
#     textual pushes, 8 real) -> unverified. `agree` is about the binding's own ops:
#     lua_gettable 0x6f3a40 and lua_rawget 0x6f3b00 replace the key on top with the looked-up
#     value (recorded as `any`), and a callee that pushes on the binding's behalf is invisible
#     to the trace, so the returned window may hold slots it never described (note
#     `delegated-push`).
#   argc / argc_conf     never gate on this. argc is a max over observed constant Lua stack
#     indices, with no unknown state, and a silent lower bound when a binding delegates
#     argument parsing to a helper. Such rows say lower-bound, but the detector is one level
#     deep, so treat every argc as a floor.
#   name       not a key. 60 names are registered from more than one table and 21 of those
#     differ in arity between registrations: GetBuildInfo returns 5 on the glue screen (table
#     0x8373b8) and 3 in-game (0x83de68); GetAddOnInfo 8 and 7. Key on `fn`, or on
#     (table_va, name). Every such row carries the note name-not-unique.
#   notes  stack-leak = the reference pushes a value and then returns 0 (or fewer): the
#     disabled lottery/vendor stubs, which a faithful client does not copy. variadic = the
#     count comes from lua_gettop, no constant exists. delegated-push = a foreign callee
#     pushes on the binding's behalf, so `agree` covers this row's own ops only.
#     cfg-truncated / indirect-branch / iteration-cap = an edge the walk could not resolve;
#     such a row's arity is not covered by the soundness claim above.
#
# Vendored from the maintainer's analysis (`WOW_RE`); no generator for it lives in this repo.
name	fn	pair_va	table_va	table_kind	argc	argc_conf	arity	arity_conf	kinds	kinds_conf	notes
AddTradeMoney	0x4c07f0	0x847a58	0x8479f8	global	0	exact	0	exact	()	agree	
AdvanceTime	0x76eca0	0x8789b8	0x878948	widget	1	exact	0	exact	()	agree	
AppendText	0x531e30	0x8541e8	0x854198	widget	2	exact	0	exact	()	agree	
AppendToFile	0x515f90	0x85041c	0x8503f4	global	0	exact	?	unknown	?	unknown	
AssistByName	0x489c40	0x83e070	0x83de68	global	1	exact	0	exact	()	agree	
AssistUnit	0x489b80	0x83e068	0x83de68	global	1	exact	0	exact	()	agree	
AtBottom	0x7931f0	0x87b688	0x87b5c0	widget	1	exact	1	exact	(nil) | (number)	agree	
AtTop	0x793130	0x87b680	0x87b5c0	widget	1	exact	1	exact	(nil) | (number)	agree	
AttackTarget	0x489b50	0x83e060	0x83de68	global	0	exact	0	exact	()	agree	
AutoEquipCursorItem	0x48a040	0x83e098	0x83de68	global	0	exact	0	exact	()	agree	
BankButtonIDToInvSlotID	0x4f8530	0x84d5dc	0x84d5dc	global	2	exact	1	exact	(number)	agree	
BeginTrade	0x48aa60	0x83e148	0x83de68	global	0	exact	0	exact	()	agree	
BindEnchant	0x48d2e0	0x83e380	0x83de68	global	0	exact	0	exact	()	agree	
BuyGuildCharter	0x4f5260	0x84d01c	0x84d00c	global	1	exact	1	exact	(nil) | (number)	agree	
BuyMerchantItem	0x4fb850	0x84da60	0x84da28	global	2	exact	0	exact	()	agree	
BuyRandomPicks	0x4c4400	0x8481d8	0x8481b8	global	1	exact	0	exact	()	agree	
BuySkillTier	0x4d3e50	0x849d48	0x849cf8	global	1	exact	0	exact	()	agree	
BuyStableSlot	0x4cb080	0x848db8	0x848da0	global	0	exact	0	exact	()	agree	
BuyTrainerService	0x4da210	0x84a490	0x84a3e0	global	1	exact	0	exact	()	agree	
BuybackItem	0x4fb950	0x84da68	0x84da28	global	1	exact	0	exact	()	agree	
CalculateAuctionDeposit	0x4ce1c0	0x8490b8	0x8490a8	global	1	exact	1	exact	(number)	agree	
CameraOrSelectOrMoveStart	0x514190	0x850160	0x8500b8	global	0	exact	0	exact	()	agree	
CameraOrSelectOrMoveStop	0x5141d0	0x850168	0x8500b8	global	1	exact	0	exact	()	agree	
CameraZoomIn	0x50b400	0x84f7a0	0x84f7a0	global	1	exact	0	exact	()	agree	
CameraZoomOut	0x50b450	0x84f7a8	0x84f7a0	global	1	exact	0	exact	()	agree	
CanEditGuildInfo	0x4d1c40	0x849758	0x8496d8	global	0	exact	1	exact	(nil) | (number)	agree	
CanEditMOTD	0x4d1a80	0x849738	0x8496d8	global	0	exact	1	exact	(nil) | (number)	agree	
CanEditOfficerNote	0x4d1b60	0x849748	0x8496d8	global	0	exact	1	exact	(nil) | (number)	agree	
CanEditPublicNote	0x4d1af0	0x849740	0x8496d8	global	0	exact	1	exact	(nil) | (number)	agree	
CanGuildDemote	0x4d1930	0x849720	0x8496d8	global	0	exact	1	exact	(nil) | (number)	agree	
CanGuildInvite	0x4d19a0	0x849728	0x8496d8	global	0	exact	1	exact	(nil) | (number)	agree	
CanGuildPromote	0x4d18c0	0x849718	0x8496d8	global	0	exact	1	exact	(nil) | (number)	agree	
CanGuildRemove	0x4d1a10	0x849730	0x8496d8	global	0	exact	1	exact	(nil) | (number)	agree	
CanInspect	0x48a1b0	0x83e0d0	0x83de68	global	1	exact	1	exact	(nil) | (number)	agree	
CanJoinBattlefieldAsGroup	0x4ac380	0x8458c8	0x8457e0	global	0	exact	1	exact	(nil) | (number)	agree	
CanMerchantRepair	0x4fba80	0x84da70	0x84da28	global	0	exact	1	exact	(nil) | (number)	agree	
CanNonSpaceWrap	0x79ead0	0x87c2d0	0x87c1d8	widget	1	exact	1	exact	(nil) | (number)	agree	
CanSaveTabardNow	0x503910	0x84ee88	0x84ee40	widget	0	exact	1	exact	(nil) | (number)	agree	
CanSendAuctionQuery	0x4cfbb0	0x849130	0x8490a8	global	0	exact	1	exact	(nil) | (number)	agree	
CanShowResetInstances	0x48a720	0x83e518	0x83de68	global	0	exact	1	exact	(nil) | (number)	agree	
CanSignPetition	0x4f45e0	0x84cec0	0x84cea0	global	0	exact	1	exact	(nil) | (number)	agree	
CanViewOfficerNote	0x4d1bd0	0x849750	0x8496d8	global	0	exact	1	exact	(nil) | (number)	agree	
CancelAreaSpiritHeal	0x48df30	0x83e470	0x83de68	global	0	exact	0	exact	()	agree	
CancelAuction	0x4d0260	0x849158	0x8490a8	global	1	exact	0	exact	()	agree	
CancelDuel	0x4d4cf0	0x849fc0	0x849fa8	global	0	exact	0	exact	()	agree	
CancelLogout	0x48ab40	0x83e178	0x83de68	global	0	exact	0	exact	()	agree	
CancelMeetingStoneRequest	0x4ca5a0	0x848cf0	0x848ce8	global	0	exact	0	exact	()	agree	
CancelPendingEquip	0x489960	0x83e020	0x83de68	global	1	exact	0	exact	()	agree	
CancelPlayerBuff	0x4e49a0	0x84bb48	0x84bb20	global	1	exact	0	exact	()	agree	
CancelRealmListQuery	0x46ed10	0x837ea8	0x837ea0	global	0	exact	0	exact	()	agree	
CancelSkillUps	0x4d3e30	0x849d40	0x849cf8	global	0	lower-bound	0	exact	()	agree	delegated-push
CancelTrackingBuff	0x4e4a80	0x84bb58	0x84bb20	global	0	exact	0	exact	()	agree	
CancelTrade	0x48aa70	0x83e150	0x83de68	global	0	exact	0	exact	()	agree	
CancelTradeAccept	0x4c06f0	0x847a38	0x8479f8	global	0	exact	0	exact	()	agree	
CastPetAction	0x4be330	0x8475d8	0x8475a0	global	1	exact	0	exact	()	agree	
CastShapeshiftForm	0x4b4810	0x8466c8	0x846648	global	1	exact	0	exact	()	agree	
CastSpell	0x4b42f0	0x846688	0x846648	global	3	lower-bound	0	exact	()	agree	
CastSpellByName	0x4b4ab0	0x8466d8	0x846648	global	2	exact	0	exact	()	agree	
ChangeActionBarPage	0x4e7650	0x84bda0	0x84bd10	global	0	lower-bound	0	exact	()	agree	delegated-push
ChangeChatColor	0x4a07f0	0x8436f0	0x843618	global	4	lower-bound	0	exact	()	agree	delegated-push
ChangeRealm	0x46f0e0	0x837ec0	0x837ea0	global	2	exact	0	exact	()	agree	
ChannelBan	0x4a0770	0x8436d0	0x843618	global	0	lower-bound	0	exact	()	agree	
ChannelInvite	0x4a0730	0x8436c0	0x843618	global	0	lower-bound	0	exact	()	agree	
ChannelKick	0x4a0750	0x8436c8	0x843618	global	0	lower-bound	0	exact	()	agree	
ChannelModerate	0x4a07d0	0x8436e8	0x843618	global	0	lower-bound	0	exact	()	agree	
ChannelModerator	0x4a06b0	0x8436a0	0x843618	global	0	lower-bound	0	exact	()	agree	
ChannelMute	0x4a06f0	0x8436b0	0x843618	global	0	lower-bound	0	exact	()	agree	
ChannelToggleAnnouncements	0x4a07b0	0x8436e0	0x843618	global	0	lower-bound	0	exact	()	agree	
ChannelUnban	0x4a0790	0x8436d8	0x843618	global	0	lower-bound	0	exact	()	agree	
ChannelUnmoderator	0x4a06d0	0x8436a8	0x843618	global	0	lower-bound	0	exact	()	agree	
ChannelUnmute	0x4a0710	0x8436b8	0x843618	global	0	lower-bound	0	exact	()	agree	
CheckBinderDist	0x48d210	0x83e370	0x83de68	global	0	exact	1	exact	(nil) | (number)	agree	
CheckInbox	0x4aeab0	0x845f38	0x845eb0	global	0	lower-bound	0	exact	()	agree	delegated-push
CheckInteractDistance	0x48ba00	0x83e290	0x83de68	global	2	exact	1	exact	(nil) | (number)	agree	
CheckPetUntrainerDist	0x48d1c0	0x83e368	0x83de68	global	0	exact	1	exact	(nil) | (number)	agree	
CheckReadyCheckTime	0x4bc120	0x8472b8	0x847240	global	0	exact	0	exact	()	agree	
CheckSpiritHealerDist	0x48d120	0x83e358	0x83de68	global	0	exact	1	exact	(nil) | (number)	agree	
CheckTalentMasterDist	0x48d170	0x83e360	0x83de68	global	0	exact	1	exact	(nil) | (number)	agree	
Clear	0x793e60	0x87b6f8	0x87b5c0	widget	1	exact	0	exact	()	agree	name-not-unique
Clear	0x795840	0x87ba28	0x87b960	widget	1	exact	0	exact	()	agree	name-not-unique
ClearAllPoints	0x7a2b70	0x87ca48	0x87c9b8	widget	1	exact	0	exact	()	agree	
ClearCursor	0x4895b0	0x83dfe8	0x83de68	global	0	exact	1	exact	()	unverified	
ClearFocus	0x798e60	0x87bc88	0x87bb68	widget	1	exact	0	exact	()	agree	
ClearFog	0x76f540	0x8789f8	0x878948	widget	1	exact	0	exact	()	agree	
ClearInspectPlayer	0x4c9780	0x848590	0x8484d0	global	0	exact	0	exact	()	agree	
ClearLines	0x531560	0x8541c8	0x854198	widget	1	exact	0	exact	()	agree	
ClearModel	0x76db20	0x878958	0x878948	widget	1	exact	0	exact	()	agree	
ClearSendMail	0x4adee0	0x845eb8	0x845eb0	global	0	exact	0	exact	()	agree	
ClearTarget	0x489ff0	0x83e090	0x83de68	global	0	exact	1	exact	(nil) | (number)	agree	
ClearTutorials	0x4b5a00	0x846b14	0x846b04	global	0	exact	0	exact	()	agree	
Click	0x7826c0	0x879e20	0x879d00	widget	2	exact	0	exact	()	agree	
ClickAuctionSellItemButton	0x4ce310	0x8490c0	0x8490a8	global	0	lower-bound	0	exact	()	agree	delegated-push
ClickSendMailItemButton	0x4adef0	0x845ec0	0x845eb0	global	0	lower-bound	0	exact	()	agree	delegated-push
ClickStablePet	0x4cb420	0x848de0	0x848da0	global	1	exact	1	exact	(nil) | (number)	agree	
ClickTargetTradeButton	0x4c0080	0x847a08	0x8479f8	global	1	exact	0	exact	()	agree	
ClickTradeButton	0x4bfdf0	0x847a00	0x8479f8	global	1	exact	0	exact	()	agree	
CloseAuctionHouse	0x4ce160	0x8490a8	0x8490a8	global	0	exact	0	exact	()	agree	
CloseBankFrame	0x4f87d0	0x84d5fc	0x84d5dc	global	0	exact	0	exact	()	agree	
CloseBattlefield	0x4ab2f0	0x845848	0x8457e0	global	0	exact	0	exact	()	agree	
CloseCraft	0x4f6c00	0x84d108	0x84d108	global	0	exact	0	exact	()	agree	
CloseGossip	0x4e2b20	0x84b820	0x84b7e8	global	0	exact	0	exact	()	agree	
CloseGuildRegistrar	0x4f5220	0x84d00c	0x84d00c	global	0	exact	0	exact	()	agree	
CloseGuildRoster	0x4d2350	0x8497b8	0x8496d8	global	0	exact	0	exact	()	agree	
CloseItemText	0x4e3b70	0x84ba40	0x84ba00	global	0	exact	0	exact	()	agree	
CloseLoot	0x4c2ec0	0x847d28	0x847cf0	global	1	exact	0	exact	()	agree	
CloseLottery	0x4c4210	0x8481b8	0x8481b8	global	0	exact	0	exact	()	agree	
CloseMail	0x4aded0	0x845eb0	0x845eb0	global	0	exact	0	exact	()	agree	
CloseMerchant	0x4fb120	0x84da28	0x84da28	global	0	exact	0	exact	()	agree	
ClosePetStables	0x4cae40	0x848da0	0x848da0	global	0	exact	0	exact	()	agree	
ClosePetition	0x4f43c0	0x84cea0	0x84cea0	global	0	exact	0	exact	()	agree	
CloseQuest	0x501a10	0x84e968	0x84e968	global	0	exact	0	exact	()	agree	
CloseTabardCreation	0x4f5900	0x84d0b4	0x84d0b4	global	0	exact	0	exact	()	agree	
CloseTaxiMap	0x4dcce0	0x84add8	0x84ada8	global	0	exact	0	exact	()	agree	
CloseTrade	0x4bfdc0	0x8479f8	0x8479f8	global	0	lower-bound	0	exact	()	agree	delegated-push
CloseTradeSkill	0x4fd7f0	0x84ddd0	0x84ddd0	global	0	exact	0	exact	()	agree	
CloseTrainer	0x4d8d50	0x84a3e8	0x84a3e0	global	0	exact	0	exact	()	agree	
CollapseCraftSkillLine	0x4f7c10	0x84d188	0x84d108	global	1	exact	0	exact	()	agree	
CollapseFactionHeader	0x4d6a50	0x84a0d0	0x84a0a8	global	1	exact	0	exact	()	agree	
CollapseQuestHeader	0x4e1730	0x84b1c0	0x84b0f0	global	1	exact	0	exact	()	agree	
CollapseSkillHeader	0x4d3b70	0x849d10	0x849cf8	global	1	exact	0	exact	()	agree	
CollapseTradeSkillSubClass	0x5000c0	0x84de78	0x84ddd0	global	1	exact	0	exact	()	agree	
CollapseTrainerSkillLine	0x4da6c0	0x84a4c0	0x84a3e0	global	1	exact	0	exact	()	agree	
CompleteQuest	0x501d70	0x84e9f8	0x84e968	global	0	exact	0	exact	()	agree	
ConfirmAcceptQuest	0x5021b0	0x84ea50	0x84e968	global	0	exact	0	exact	()	agree	
ConfirmBindOnUse	0x48d770	0x83e3d8	0x83de68	global	0	exact	0	exact	()	agree	
ConfirmBinder	0x48dd00	0x83e430	0x83de68	global	0	exact	0	exact	()	agree	
ConfirmLootRoll	0x4c33e0	0x847d68	0x847cf0	global	2	exact	0	exact	()	agree	
ConfirmPetUnlearn	0x48dca0	0x83e428	0x83de68	global	0	exact	0	exact	()	agree	
ConfirmReadyCheck	0x4bc090	0x8472b0	0x847240	global	1	exact	0	exact	()	agree	
ConfirmSummon	0x48b770	0x83e260	0x83de68	global	0	exact	0	exact	()	agree	
ConfirmTalentWipe	0x48dc40	0x83e420	0x83de68	global	0	exact	0	exact	()	agree	
ConsoleExec	0x515f10	0x850404	0x8503f4	global	1	exact	0	exact	()	agree	
ContainerIDToInventoryID	0x4f94e0	0x84d688	0x84d688	global	1	exact	1	exact	(number)	agree	
ContestAccepted	0x46d120	0x837470	0x8373b8	global	0	exact	1	exact	(nil) | (number)	agree	
ConvertToRaid	0x4bbc90	0x847280	0x847240	global	0	exact	0	exact	()	agree	
CopyFontObject	0x7a01b0	0x87c7f0	0x87c7c8	widget	1	lower-bound	?	unknown	()	unverified	delegated-push
CreateCharacter	0x4719e0	0x8381b0	0x8380f8	global	1	exact	0	exact	()	agree	
CreateFont	0x706040	0x872e84	0x872e74	global	1	lower-bound	1	exact	(any)	agree	delegated-push
CreateFontString	0x773c30	0x878ee8	0x878ec0	widget	4	lower-bound	1	exact	(any)	agree	delegated-push
CreateFrame	0x7060b0	0x872e8c	0x872e74	global	4	lower-bound	1	exact	(any)	agree	delegated-push
CreateMacro	0x4f15b0	0x84c990	0x84c990	global	5	exact	0|1	set	() | (number)	agree	
CreateMiniWorldMapArrowFrame	0x4a8c60	0x845100	0x845078	global	1	exact	0	exact	()	agree	
CreateTexture	0x773a20	0x878ee0	0x878ec0	widget	4	lower-bound	1	exact	(any)	agree	delegated-push
CreateTitleRegion	0x773910	0x878ed8	0x878ec0	widget	1	lower-bound	1	exact	(any)	agree	delegated-push
CreateWorldMapArrowFrame	0x4a8bb0	0x8450f8	0x845078	global	1	exact	0	exact	()	agree	
CursorCanGoInSlot	0x4c8ff0	0x848540	0x8484d0	global	0	lower-bound	1	exact	(nil) | (number)	agree	
CursorHasItem	0x4895d0	0x83dff0	0x83de68	global	0	exact	1	exact	(nil) | (number)	agree	
CursorHasMoney	0x489630	0x83e000	0x83de68	global	0	exact	1	exact	(nil) | (number)	agree	
CursorHasSpell	0x489600	0x83dff8	0x83de68	global	0	exact	1	exact	(nil) | (number)	agree	
CycleCharCustomization	0x471890	0x838188	0x8380f8	global	2	exact	0	exact	()	agree	
CycleVariation	0x502ca0	0x84ee50	0x84ee40	widget	3	exact	0	exact	()	agree	
DeclineGroup	0x48aab0	0x83e160	0x83de68	global	0	exact	0	exact	()	agree	
DeclineGuild	0x48ab10	0x83e170	0x83de68	global	0	exact	0	exact	()	agree	
DeclineQuest	0x501d30	0x84e9e8	0x84e968	global	0	exact	0	exact	()	agree	
DeclineResurrect	0x48a9d0	0x83e130	0x83de68	global	0	exact	0	exact	()	agree	
DefaultServerLogin	0x46d160	0x837480	0x8373b8	global	2	exact	0	exact	()	agree	
DelIgnore	0x5ad640	0x85d898	0x85d830	global	1	exact	0	exact	()	agree	
DeleteCharacter	0x4734c0	0x8385a8	0x838578	global	1	exact	0	exact	()	agree	
DeleteCursorItem	0x4897b0	0x83e010	0x83de68	global	0	exact	0	exact	()	agree	
DeleteFile	0x515f70	0x850414	0x8503f4	global	0	exact	?	unknown	?	unknown	
DeleteGMTicket	0x48cb70	0x83e320	0x83de68	global	0	exact	0	exact	()	agree	
DeleteInboxItem	0x4afcd0	0x845f88	0x845eb0	global	1	exact	0	exact	()	agree	
DeleteMacro	0x4f1850	0x84c9a8	0x84c990	global	1	exact	0	exact	()	agree	
DemoteAssistant	0x4bbdf0	0x847290	0x847240	global	1	exact	0	exact	()	agree	
Disable	0x77ffd0	0x879d08	0x879d00	widget	1	exact	0	exact	()	agree	
DisableAddOn	0x46d8a0	0x837508	0x8373b8	global	2	exact	0	exact	()	agree	name-not-unique
DisableAddOn	0x48e760	0x83e4c8	0x83de68	global	1	exact	0	exact	()	agree	name-not-unique
DisableAllAddOns	0x46d940	0x837510	0x8373b8	global	1	exact	0	exact	()	agree	name-not-unique
DisableAllAddOns	0x48e7f0	0x83e4d0	0x83de68	global	0	exact	0	exact	()	agree	name-not-unique
DisableDrawLayer	0x775680	0x878fb8	0x878ec0	widget	2	exact	0	exact	()	agree	
DisconnectFromServer	0x46d340	0x837498	0x8373b8	global	0	exact	0	exact	()	agree	
DisplayChannelOwner	0x4a05c0	0x843690	0x843618	global	0	lower-bound	0	exact	()	agree	
DoCraft	0x4f7d10	0x84d198	0x84d108	global	1	exact	0	exact	()	agree	
DoEmote	0x49fd30	0x843640	0x843618	global	2	exact	0	exact	()	agree	
DoReadyCheck	0x4bc080	0x8472a8	0x847240	global	0	exact	0	exact	()	agree	
DoTradeSkill	0x500280	0x84de98	0x84ddd0	global	2	exact	0	exact	()	agree	
Dress	0x504cd0	0x84f198	0x84f190	widget	1	exact	0	exact	()	agree	
DropCursorMoney	0x48aba0	0x83e198	0x83de68	global	0	exact	0	exact	()	agree	
DropItemOnUnit	0x48d960	0x83e3f8	0x83de68	global	1	exact	0	exact	()	agree	
EULAAccepted	0x46d040	0x837440	0x8373b8	global	0	exact	1	exact	(nil) | (number)	agree	
EditMacro	0x4f18b0	0x84c9b0	0x84c990	global	5	exact	?	unknown	() | (number)	unverified	
Enable	0x77fef0	0x879d00	0x879d00	widget	1	exact	0	exact	()	agree	
EnableAddOn	0x46d7b0	0x8374f8	0x8373b8	global	2	exact	0	exact	()	agree	name-not-unique
EnableAddOn	0x48e690	0x83e4b8	0x83de68	global	1	exact	0	exact	()	agree	name-not-unique
EnableAllAddOns	0x46d850	0x837500	0x8373b8	global	1	exact	0	exact	()	agree	name-not-unique
EnableAllAddOns	0x48e720	0x83e4c0	0x83de68	global	0	exact	0	exact	()	agree	name-not-unique
EnableDrawLayer	0x7755b0	0x878fb0	0x878ec0	widget	2	exact	0	exact	()	agree	
EnableKeyboard	0x776ec0	0x879080	0x878ec0	widget	2	exact	0	exact	()	agree	
EnableMouse	0x777070	0x879090	0x878ec0	widget	2	exact	0	exact	()	agree	
EnableMouseWheel	0x7771f0	0x8790a0	0x878ec0	widget	2	exact	0	exact	()	agree	
EnableSubtitles	0x78d940	0x87ab5c	0x87ab4c	widget	2	exact	0	exact	()	agree	
EnterWorld	0x46d3c0	0x8374a8	0x8373b8	global	0	exact	0	exact	()	agree	
EnumerateFrames	0x705f60	0x872e7c	0x872e74	global	1	lower-bound	1	exact	(any) | (nil)	agree	delegated-push
EnumerateServerChannels	0x4a1790	0x843778	0x843618	global	0	exact	?	unknown	?	unknown	
EquipCursorItem	0x489660	0x83e008	0x83de68	global	1	exact	0	exact	()	agree	
EquipPendingItem	0x4898f0	0x83e018	0x83de68	global	1	exact	0	exact	()	agree	
ExpandCraftSkillLine	0x4f7c90	0x84d190	0x84d108	global	1	exact	0	exact	()	agree	
ExpandFactionHeader	0x4d6aa0	0x84a0f0	0x84a0a8	global	1	exact	0	exact	()	agree	
ExpandQuestHeader	0x4e1780	0x84b1c8	0x84b0f0	global	1	exact	0	exact	()	agree	
ExpandSkillHeader	0x4d3bd0	0x849d18	0x849cf8	global	1	exact	0	exact	()	agree	
ExpandTradeSkillSubClass	0x500140	0x84de80	0x84ddd0	global	1	exact	0	exact	()	agree	
ExpandTrainerSkillLine	0x4da740	0x84a4c8	0x84a3e0	global	1	exact	0	exact	()	agree	
FactionToggleAtWar	0x4d6950	0x84a0c8	0x84a0a8	global	1	exact	0	exact	()	agree	
